geneID	SRR1569274	SRR1569385	SRR1569432	SRR1569463	SRR1569464	SRR1569465	SRR1569467	SRR1569468	SRR1569469	SRR1569471	SRR1569472	SRR1569473	SRR1569474	SRR1569475	SRR1569477
phavu.G19833.gnm1.ann1.Phvul.002G178800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G178900	0.04	0	0.04	0.04	0.13	0	0.13	0	0.12	0.14	0	0.11	0.09	0.13	0.13
phavu.G19833.gnm1.ann1.Phvul.002G179000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G179100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G179200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G179300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G179400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G179500	5.6	1.55	5.8	8.37	5.27	3.55	4.4	3.52	4.76	8.59	5.51	5.33	8.5	4.24	6.11
phavu.G19833.gnm1.ann1.Phvul.002G179600	0.15	0.03	0.04	0.08	7.89	0	0	0.08	0	0.14	0.12	0.16	0.25	0.17	0.16
phavu.G19833.gnm1.ann1.Phvul.002G179700	3.14	0.43	2.42	6.18	3.08	3.82	1.43	1.24	0.76	3.27	2.38	1.21	2.73	1.2	3.03
phavu.G19833.gnm1.ann1.Phvul.002G179800	0.17	0.31	0	0	3.84	0	0.19	0	0	0.81	0.26	0	0.38	0.19	0.18
phavu.G19833.gnm1.ann1.Phvul.002G179900	0.29	0.11	0.59	0.81	0.44	0.39	0.31	0.1	0.11	0.52	0.49	0.29	1.51	0.47	0.53
phavu.G19833.gnm1.ann1.Phvul.002G180000	0	0	0.21	0	0	0	0	0	0	0	0	0	36.94	6.47	8.84
phavu.G19833.gnm1.ann1.Phvul.002G180100	40.48	6.87	53.49	85.36	64.3	39.6	57.44	33.66	48.94	106.39	104.48	72.91	98.18	29.7	61.39
phavu.G19833.gnm1.ann1.Phvul.002G180200	0.99	0.18	2.25	4.48	1.94	1.75	4.72	4.19	13.18	3.41	7.43	5.93	1.52	1.07	1
phavu.G19833.gnm1.ann1.Phvul.002G180300	1.49	0.83	9.94	8.81	5.9	2.41	7.97	7.7	10.96	8.85	12.97	10.73	11.89	6.48	15.2
phavu.G19833.gnm1.ann1.Phvul.002G180400	1.59	0.54	5.37	5.63	6.1	3.67	4.35	5	7.32	13.74	7.38	5.69	7.79	3.36	6.42
phavu.G19833.gnm1.ann1.Phvul.002G180500	20.39	9.78	20.15	28.67	20.19	13.16	15.24	13.71	17.94	24.9	15.12	11.8	25.9	22.73	20.56
phavu.G19833.gnm1.ann1.Phvul.002G180600	0.51	0.23	0	0.55	2.19	0	0.28	0	0.39	0	0	0	0.56	2.75	1.91
phavu.G19833.gnm1.ann1.Phvul.002G180700	10.29	0.42	10.36	21.08	4.4	2.11	1.65	1.25	2.03	4.4	2.24	1.24	6.47	4.27	2.73
phavu.G19833.gnm1.ann1.Phvul.002G180800	0.12	0	0	0.26	0.21	0	0	0.24	0	0	0	0	0.54	0.66	0.52
phavu.G19833.gnm1.ann1.Phvul.002G180900	0.36	0	0	0	0	0	0	0	0.27	0	0	0	0.2	0.78	0
phavu.G19833.gnm1.ann1.Phvul.002G181000	140.37	115.25	68.81	739.13	411.25	196.61	474.85	23.6	4.34	293.41	534.27	441.36	4.91	1.37	2.38
phavu.G19833.gnm1.ann1.Phvul.002G181100	0	0	0	0	12.66	0	0	0	0	0	0	1.31	0	0	0.49
phavu.G19833.gnm1.ann1.Phvul.002G181200	0.1	0	0	1.21	0	0	0	0	0.1	0	0.3	0	0.85	10.8	31.31
phavu.G19833.gnm1.ann1.Phvul.002G181300	0.02	0	0	0.78	0.03	0.06	0	0	0	0	0.06	0	4.15	14.24	28.41
phavu.G19833.gnm1.ann1.Phvul.002G181400	80.98	56.37	29.86	40.68	48.07	39.96	53.93	22.36	44.65	27.57	26.97	15.5	49.18	27.79	60.12
phavu.G19833.gnm1.ann1.Phvul.002G181500	6.3	3.59	24.18	4.34	13.04	2.57	6.48	31.11	40.27	59.32	23.98	25.62	9.15	22.94	43.55
phavu.G19833.gnm1.ann1.Phvul.002G181600	1.98	0.85	1.43	1.95	2.3	1.33	2.23	1.15	1.67	3.38	1.82	1.25	1.21	0.67	1.34
phavu.G19833.gnm1.ann1.Phvul.002G181700	693.39	7390.99	802.57	540.12	2961.51	17644	987.52	13283.8	1226.07	661.6	473.56	726.24	66.98	50.74	40.31
phavu.G19833.gnm1.ann1.Phvul.002G181800	17.27	5.72	30.77	27.57	23.5	17.14	28.97	19.84	27.63	32.85	25.22	22.39	38.41	19.78	34.15
phavu.G19833.gnm1.ann1.Phvul.002G181900	4.43	0.6	1.6	3.26	1.58	2.01	1.02	0.77	0.91	1.51	0.82	0.45	2.22	0.92	1.23
phavu.G19833.gnm1.ann1.Phvul.002G182000	74.03	59.86	81.66	63.46	36.46	16.73	24.58	15.44	30.87	15.38	31.19	24.08	87.39	47.86	42.74
phavu.G19833.gnm1.ann1.Phvul.002G182100	23.4	11.85	32.18	7.42	12.09	1.68	21.89	1.26	0.84	4.38	3.99	4.35	7.14	30.13	30.83
phavu.G19833.gnm1.ann1.Phvul.002G182200	59.45	3.44	39.55	37.66	12.83	5.48	12.56	8.65	18.63	11.93	11	8.37	22.8	41.79	28.88
phavu.G19833.gnm1.ann1.Phvul.002G182300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G182400	48.38	28.81	50.88	26.69	18.58	6.83	21.44	25.17	59.83	3.5	41.91	25.35	4.94	17.2	55.59
phavu.G19833.gnm1.ann1.Phvul.002G182500	0	0	0	0.26	0	0.11	0.04	0	0	0	0.05	0	2.83	10.33	7.56
phavu.G19833.gnm1.ann1.Phvul.002G182600	2.31	1.43	3.25	3.05	3.73	1.09	2.62	2.76	4.06	1.65	1.68	1.36	3.23	4.58	3.93
phavu.G19833.gnm1.ann1.Phvul.002G182700	19.82	16.54	158.99	72.99	63.95	44.89	42.97	29.19	35.32	2.05	0.81	0.34	19.53	25.38	77.35
phavu.G19833.gnm1.ann1.Phvul.002G182800	22.38	4.47	25.43	44.27	34.56	22.53	26.43	11.33	16.9	44.02	69.09	43.35	68.17	20.62	46.75
phavu.G19833.gnm1.ann1.Phvul.002G182900	17.34	1.73	36.55	18.87	12.68	5.56	23.08	21.85	36.73	12.78	5.04	4.4	12.07	25.1	8.99
phavu.G19833.gnm1.ann1.Phvul.002G183000	14.85	7.83	55.67	17.4	16.64	15.84	65.43	63.57	59.04	43.21	19.17	18.62	28.78	58.6	61.91
phavu.G19833.gnm1.ann1.Phvul.002G183100	12.32	5.29	38.13	24.12	19.33	9.38	26.49	27.54	50.37	25.57	24.9	23.7	33.23	33.53	39.29
phavu.G19833.gnm1.ann1.Phvul.002G183200	88.15	135.44	5.56	6.23	16.83	6.31	19.06	5.84	16.46	1.64	0.66	0.61	0.24	0.12	0.06
phavu.G19833.gnm1.ann1.Phvul.002G183300	28.99	5.49	44.16	75.12	51.24	34.1	43.14	25.73	25.2	92.94	212.47	223.16	110.53	54.57	76.58
phavu.G19833.gnm1.ann1.Phvul.002G183400	0.23	0	0.35	0.24	0.39	1.03	0	0.22	0	0.53	0.17	0.48	0.37	0.12	0.36
phavu.G19833.gnm1.ann1.Phvul.002G183500	5.41	2.71	15.29	17.78	15.51	8.19	13.62	14.02	25.29	23.22	10.75	9.83	6.69	7.09	18.79
phavu.G19833.gnm1.ann1.Phvul.002G183600	7.45	3.03	6.49	7.43	8.57	3.18	5.98	4.19	7.41	7.79	4.58	3.58	18.48	13.75	14.11
phavu.G19833.gnm1.ann1.Phvul.002G183700	0.55	0.16	0.56	0	0.94	0.55	0.2	0	0.28	0	0	0.26	0.2	0.78	0.19
phavu.G19833.gnm1.ann1.Phvul.002G183800	14.87	1.79	12.48	25.44	23.82	13.16	16.53	7.81	12.41	36.69	25.66	14.43	18.85	6.48	14.3
phavu.G19833.gnm1.ann1.Phvul.002G183900	0.29	0.09	1.3	0.41	0	0.29	0	0	0	0	0	0	0.86	1.78	3.21
phavu.G19833.gnm1.ann1.Phvul.002G184000	0.09	0	0	0	4.53	0	0	0	0	0	0	0	0	0.1	0
phavu.G19833.gnm1.ann1.Phvul.002G184100	1.9	0.58	6.39	6.69	6.37	3.48	3.22	0.29	0.23	7.93	5.24	4.78	2.7	3.94	6.25
phavu.G19833.gnm1.ann1.Phvul.002G184200	3.73	1.69	5.58	6.28	5.89	3.01	5.13	2.88	4.77	7.41	3.59	4.21	11.33	5.25	7.7
phavu.G19833.gnm1.ann1.Phvul.002G184300	6.68	0.52	11.29	3.03	8.12	2.2	0.16	0.57	0.22	134.1	53.41	20.39	25.38	349.99	72.96
phavu.G19833.gnm1.ann1.Phvul.002G184400	0.04	0.04	0.9	0.25	0.2	0.24	2.6	1.86	4.64	0.52	0.31	0.34	0.26	9.98	5.64
phavu.G19833.gnm1.ann1.Phvul.002G184500	9.53	3.47	11.9	12.51	9.43	6.51	8.44	4.71	7.3	11.07	16.05	14.69	17.05	15.15	13.9
phavu.G19833.gnm1.ann1.Phvul.002G184600	5.44	1.75	1.34	3.18	2.32	1.55	0.46	0.45	0.78	0.71	1.65	0.07	14.91	157.6	2.18
phavu.G19833.gnm1.ann1.Phvul.002G184700	6.68	1.43	40.38	33.21	12.83	11.91	12.38	11.92	12.37	8.68	1.64	1.75	14.95	10.7	10.03
phavu.G19833.gnm1.ann1.Phvul.002G184800	1.65	1.47	22.51	7.39	2.02	7.85	9.82	20.79	12.39	2.44	2.19	1.63	5.16	2.92	19.46
phavu.G19833.gnm1.ann1.Phvul.002G184900	24.86	11.45	42.35	47.72	39.23	20.81	48.67	32.06	49.28	52.25	40.54	43.04	55.14	25.56	57.98
phavu.G19833.gnm1.ann1.Phvul.002G185000	0.37	0.86	1.59	3.71	1.27	3.8	1.85	7.63	1.57	0.17	0.11	0.11	0.24	0.95	1.1
phavu.G19833.gnm1.ann1.Phvul.002G185100	1.56	1.02	8.2	7.28	4.03	2.95	4.11	2.71	4.52	1.86	1.42	1.15	8.47	8.39	15.28
phavu.G19833.gnm1.ann1.Phvul.002G185200	0.43	0.15	2.18	1.84	1.22	0.67	0.97	0.47	0.88	0.37	0.2	0.17	2.59	2.44	3.95
phavu.G19833.gnm1.ann1.Phvul.002G185300	0.96	0.28	1.77	0.86	0.88	0.81	0.51	1.48	3.52	2.06	0.45	0.35	1.06	10.15	8.16
phavu.G19833.gnm1.ann1.Phvul.002G185400	2.05	0.89	5.78	8.26	7.55	8.15	4.91	0	0.27	2.08	2.35	1.83	0.45	0.57	3.94
phavu.G19833.gnm1.ann1.Phvul.002G185500	7.05	1.06	7.08	14.89	9.18	6.46	5.45	2.47	4	13.39	8.74	5.68	12.6	3.51	7.35
phavu.G19833.gnm1.ann1.Phvul.002G185600	4.08	2.75	4.45	6.26	6.59	3.29	4.42	2.72	3.56	6.39	3.66	2.68	5.09	3.01	5.71
phavu.G19833.gnm1.ann1.Phvul.002G185700	13.99	15.01	16.3	11.95	20.81	5.15	11.4	11.21	32.18	15.35	7.02	8.83	21.52	34.36	47.5
phavu.G19833.gnm1.ann1.Phvul.002G185800	0.21	0	0.69	0.28	0.8	0.16	0.17	0	0	3.8	3.67	0.96	46.72	39.96	2.27
phavu.G19833.gnm1.ann1.Phvul.002G185900	0.95	0	2.07	0.42	0	0	0	0.11	0.08	0	0.17	0	9.68	34.8	0.18
phavu.G19833.gnm1.ann1.Phvul.002G186000	1.23	0	2.91	0.59	0.11	0.19	0	0.12	0.37	0.07	0	0.18	7.93	35.41	0.2
phavu.G19833.gnm1.ann1.Phvul.002G186100	3.43	1.03	5.18	7.09	5.49	2.04	3.87	2.83	5.79	6.98	5.19	4.22	8.68	5.62	6
phavu.G19833.gnm1.ann1.Phvul.002G186200	5.87	3.91	9.72	13	10.8	3.3	10.95	12.53	28.43	9.38	7.68	7.62	13.47	14.05	21.59
phavu.G19833.gnm1.ann1.Phvul.002G186300	61.7	24.82	65.07	83.22	62.1	36.17	65.27	45.7	74.12	68.87	51.49	37.68	117.23	98.77	87.47
phavu.G19833.gnm1.ann1.Phvul.002G186400	2.92	0.7	3.83	7.09	5.07	3.46	4.38	2.99	3.34	5.96	5.7	5.03	7.14	2.4	4.24
phavu.G19833.gnm1.ann1.Phvul.002G186500	0	0	0.55	0.14	0.23	0	0	0	0	0.78	0.41	0.19	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G186600	1.31	0	0.45	0	0.19	0	0	0	0	0.39	0	0	0.12	1.64	0
phavu.G19833.gnm1.ann1.Phvul.002G186700	4.26	0.98	4.44	7.52	5.79	5.25	4.75	4.35	6.16	4.75	3.13	2.61	4.48	3.79	6.46
phavu.G19833.gnm1.ann1.Phvul.002G186800	2.7	0.68	2.98	5.48	3.52	2.34	3.14	1.94	3.01	3.96	2.43	1.81	3.32	2.68	3.01
phavu.G19833.gnm1.ann1.Phvul.002G186900	49.22	25.2	75.51	69.27	72.07	30.35	95.13	50.46	72.26	75.73	72.77	69.63	136.27	95.78	112.45
phavu.G19833.gnm1.ann1.Phvul.002G187000	172.96	47.44	98.92	156.43	129.99	81.46	97.36	44.66	73.52	123.11	127.64	75.19	141.25	124.08	112.28
phavu.G19833.gnm1.ann1.Phvul.002G187100	5.71	3.1	5.3	10.4	12.58	8.76	8.68	4.86	9.87	9.32	4.34	4.47	3.72	7.28	10.39
phavu.G19833.gnm1.ann1.Phvul.002G187200	240.15	139.93	241.78	263.01	286.46	135.67	349.01	104.75	125.8	309.09	225.48	161.17	498.71	273.72	360.41
phavu.G19833.gnm1.ann1.Phvul.002G187300	0.28	0.04	0.05	1.56	1.71	0.91	0.76	0.63	1.12	3.97	1.32	0.76	0.71	4.29	24.43
phavu.G19833.gnm1.ann1.Phvul.002G187400	1.89	0.52	4.93	6.67	7.74	10.54	21.68	10.48	20.02	6.52	2.24	1.86	0.32	1.88	1.71
phavu.G19833.gnm1.ann1.Phvul.002G187500	59.13	56.23	6.59	12.27	19.59	9.5	16.82	1.17	2.54	1.37	1.26	0.92	0.81	0.7	0.64
phavu.G19833.gnm1.ann1.Phvul.002G187600	26.54	3.32	23.37	34.59	21.83	15.37	15.07	14.86	22.29	30.65	39.17	17.43	37.18	17.9	32.76
phavu.G19833.gnm1.ann1.Phvul.002G187700	0	0	0	0	0.11	0	0.07	0	0	0.08	0	0.09	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G187800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24
phavu.G19833.gnm1.ann1.Phvul.002G187900	0	0.07	0	0	0	0.05	0	0	0.02	1.96	0	0	0.02	0.03	0
phavu.G19833.gnm1.ann1.Phvul.002G188000	1.31	0.57	1.13	3.12	1.97	1.24	1.19	1.37	1.37	1.9	1.11	1.1	1.24	0.9	1.75
phavu.G19833.gnm1.ann1.Phvul.002G188100	2.56	0.9	3.53	5.61	3.75	2.75	2.94	3.07	6.15	4.13	2.69	2.4	3.91	2.39	3.95
phavu.G19833.gnm1.ann1.Phvul.002G188200	6.73	2.56	8.54	7.37	5.19	3.26	5.87	2.63	6.21	6.75	7.22	2.99	14.48	7.26	10.99
phavu.G19833.gnm1.ann1.Phvul.002G188300	0.09	0	0	5.77	2.65	0	0	0.17	0	0	0.13	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G188400	16.23	5.14	2.95	7.95	5.91	4.55	4.77	1.79	2.99	5.77	5.32	2.78	4.39	1.79	2.13
phavu.G19833.gnm1.ann1.Phvul.002G188500	4.19	1.01	5.57	7.03	6.5	3.47	7.52	2.91	5.66	7.35	4.8	6.07	11.77	4.5	6.68
phavu.G19833.gnm1.ann1.Phvul.002G188600	1.96	0.88	3.24	2.49	4.05	0.88	1.16	0.24	0.13	0.69	0.22	0.03	0.78	1.6	2.09
phavu.G19833.gnm1.ann1.Phvul.002G188700	0.04	0	0.12	0.25	0.2	1.07	0.34	0.15	0.12	12.34	30.75	36.42	2.64	0.21	1.17
phavu.G19833.gnm1.ann1.Phvul.002G188800	59.61	6.1	149.52	98.48	63.6	32.94	213.73	275.24	648.49	40.51	17.87	12.39	85.67	325.96	144.95
phavu.G19833.gnm1.ann1.Phvul.002G188900	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
phavu.G19833.gnm1.ann1.Phvul.002G189000	0.41	0	0.13	0.5	0	0	0.07	0	0	0.04	0.02	0.04	0.45	1.24	0.12
phavu.G19833.gnm1.ann1.Phvul.002G189100	0	0	0	0	0	0	0.07	0	0	0	0.1	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G189200	0.35	0.31	7.88	1.86	7.48	2.11	10.63	8.83	16.1	0.62	1.61	0.74	0.77	0.56	12.27
phavu.G19833.gnm1.ann1.Phvul.002G189300	1.39	0.35	1.27	5.52	1.46	0.7	0.76	0.9	0.47	75.08	2338.79	2516.28	0.59	2.99	0.82
phavu.G19833.gnm1.ann1.Phvul.002G189400	1.17	1.57	0.32	1	8.36	0.71	1.99	6.83	0.18	1.43	1.02	0.5	2.96	0.63	2.91
phavu.G19833.gnm1.ann1.Phvul.002G189500	15.59	10.58	11.36	11.18	13.29	7.84	12.45	12.73	16	22.14	20.11	12.51	10.05	8.28	11.63
phavu.G19833.gnm1.ann1.Phvul.002G189600	3.13	1.52	6.3	6.77	4.15	3.99	5.98	4.87	6.2	10.74	8.2	6.33	5.08	5.24	6.8
phavu.G19833.gnm1.ann1.Phvul.002G189700	18.8	10.3	31.46	28.23	28.29	25.09	23.51	43.65	36.25	30.4	31.21	25.34	23.71	29.17	36.2
phavu.G19833.gnm1.ann1.Phvul.002G189800	17.9	6.25	8.65	11.66	11.11	8.76	12.96	5.65	6.52	18.73	16.17	9.42	19.22	7.69	12.05
phavu.G19833.gnm1.ann1.Phvul.002G189900	0	0	0	0.37	0.59	0	0	0	0.26	0.4	0	0	0.19	2.58	8.94
phavu.G19833.gnm1.ann1.Phvul.002G190000	2.33	1.42	27.27	5.59	5.25	1.25	4.35	7.16	13.59	5.41	3.77	4.43	16.39	24.57	25.02
phavu.G19833.gnm1.ann1.Phvul.002G190100	471.71	56.54	466.82	771.12	402.51	305.2	321.26	121.36	226.85	759.98	1218.71	867.49	894.1	276.01	745.53
phavu.G19833.gnm1.ann1.Phvul.002G190200	30.49	8.73	27.46	43.84	39.95	17.3	35.1	20.79	31.12	60.72	55.23	49.31	48.88	22.42	35.77
phavu.G19833.gnm1.ann1.Phvul.002G190300	22.28	3.67	28.09	28.93	15.65	14.69	14.38	6.95	11.84	37.85	44.74	21.6	31.25	20.44	31.91
phavu.G19833.gnm1.ann1.Phvul.002G190400	627.31	77.35	473.69	844.71	502.38	383.89	412.63	146.37	202.59	858.88	1351.75	691.41	1387.02	393.89	831.8
phavu.G19833.gnm1.ann1.Phvul.002G190500	0.33	0	0	3.33	3.78	0	0	0	0	1.04	1.58	0.99	3.43	0.32	0.74
phavu.G19833.gnm1.ann1.Phvul.002G190600	27.61	8.17	18.7	26.34	15.4	12.2	14.91	8.58	9.4	36.08	33.22	19.2	24.88	10.33	16.64
phavu.G19833.gnm1.ann1.Phvul.002G190700	8.03	2.41	22.65	12.18	8.41	5.35	17.34	13.65	21.88	8.13	12.25	11.26	22.22	14.27	23.35
phavu.G19833.gnm1.ann1.Phvul.002G190800	0.41	1.22	4.9	2.91	2.57	2.88	6.23	9.28	6.6	0.64	1.89	0.58	1.8	1.47	4.5
phavu.G19833.gnm1.ann1.Phvul.002G190900	305.08	375.57	40.86	45	88.06	34.98	65.91	24.61	60.05	23.96	17.28	13.23	3.46	1.68	2.59
phavu.G19833.gnm1.ann1.Phvul.002G191000	1.45	0.29	2.03	1.85	0.62	1.1	0.18	1.26	0.49	0.86	0.56	0.23	0.84	0.87	0.82
phavu.G19833.gnm1.ann1.Phvul.002G191100	2.27	0.98	3.73	4.84	4.16	2.05	3.42	4.1	5.21	4.92	6.78	5.86	2.1	1.93	4.44
phavu.G19833.gnm1.ann1.Phvul.002G191200	0	0	0	0.73	0	0	0	0	0	0	0	0	19.6	0.98	12.67
phavu.G19833.gnm1.ann1.Phvul.002G191300	4.37	1.92	6.25	10.12	6.68	4.64	5.47	5.38	5.61	6.54	3.52	2.38	5.37	5.61	5.74
phavu.G19833.gnm1.ann1.Phvul.002G191400	56.67	14.72	108.01	96.72	67.56	22.28	68.45	52.63	97.46	65.42	65.89	103.29	145.12	112.28	81.47
phavu.G19833.gnm1.ann1.Phvul.002G191500	36.89	8.84	36.28	79.39	58.03	33.74	35.17	27.26	52.63	92.73	84.78	68.55	55.99	23.42	56.07
phavu.G19833.gnm1.ann1.Phvul.002G191600	0.02	0.08	0.66	0.12	0.46	0.19	0.62	0.15	0.12	1.12	0.97	0.45	0.33	0.31	0.56
phavu.G19833.gnm1.ann1.Phvul.002G191700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G191800	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G191900	0	0.39	0.3	0.31	0	0	0.94	0.28	0	0	0.44	0	0	0.31	0.31
phavu.G19833.gnm1.ann1.Phvul.002G192000	0	0.1	0.17	0.06	0.94	0.17	1.44	0.86	1.08	0.52	0.76	0.63	0.3	0.77	0.94
phavu.G19833.gnm1.ann1.Phvul.002G192100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192200	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192300	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0.14
phavu.G19833.gnm1.ann1.Phvul.002G192400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192600	0.1	0	0	0.11	0	0	0	0	0	0.06	0	0	0.11	0.16	0
phavu.G19833.gnm1.ann1.Phvul.002G192700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192800	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G192900	0.14	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G193000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G193100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G193200	4.12	1.29	6.39	10.92	7.26	3.82	10.01	7.58	14.21	11.79	6.51	5.51	11.5	4.97	8.12
phavu.G19833.gnm1.ann1.Phvul.002G193300	0.06	0.06	0.89	9.78	0.74	0	0	0.12	0	0	2.37	2.19	0.14	0.07	0
phavu.G19833.gnm1.ann1.Phvul.002G193400	1.98	0.89	3.74	0.94	0.82	0.22	1.44	0	0.22	0.3	0.51	0.26	0	1.66	1.18
phavu.G19833.gnm1.ann1.Phvul.002G193500	0.07	0.07	0.15	0.28	0.38	0	0.04	0	0	0.09	0.06	0	0	0.24	0.04
phavu.G19833.gnm1.ann1.Phvul.002G193600	23.25	13.44	18.72	28.39	22.81	13.01	20.85	10.61	16.48	31.45	24.3	16.55	21.17	17.99	25.54
phavu.G19833.gnm1.ann1.Phvul.002G193700	0.41	1	7.15	1.08	0.61	1.07	6.36	1.19	0.54	1.08	0.55	0.14	2.07	3.5	13.76
phavu.G19833.gnm1.ann1.Phvul.002G193800	20.82	4.65	44.01	110.58	68.8	25.73	37.58	35	60.96	100.02	69.69	72.43	206.9	53.17	104.25
phavu.G19833.gnm1.ann1.Phvul.002G193900	0.25	0.89	12.52	0.27	0.43	0	0.81	0	0	0.29	0	0	4.93	1.34	9.81
phavu.G19833.gnm1.ann1.Phvul.002G194000	34.81	37.57	17.51	26.44	28.97	15.32	37.54	17.54	29.57	18.95	13.38	9.7	11.01	3.72	8.34
phavu.G19833.gnm1.ann1.Phvul.002G194100	7.47	3.5	6.24	10.34	12.07	6.37	13.06	3.62	6.84	19.93	9.73	6.29	9.28	6.7	11.14
phavu.G19833.gnm1.ann1.Phvul.002G194200	14.62	1.11	7.99	41.84	24.21	19.82	7.52	3.03	0.69	42.84	22.21	11.54	34.25	11.11	16.88
phavu.G19833.gnm1.ann1.Phvul.002G194300	83.51	19.93	40.3	95.41	56.61	40.55	43.86	8.92	8.58	65.14	78.33	56.5	146.48	27.17	72.09
phavu.G19833.gnm1.ann1.Phvul.002G194400	29.62	22.74	71.84	72.79	104.44	33.91	73.15	49.44	79.06	87.97	34.76	27.3	53.98	34.24	79.63
phavu.G19833.gnm1.ann1.Phvul.002G194500	2.93	1.04	3.2	2.62	2.5	0.61	1.82	1.34	2.56	1.94	1.86	1.87	3.34	3.36	1.91
phavu.G19833.gnm1.ann1.Phvul.002G194600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.002G194700	142.38	2.37	39.73	47.41	1.61	0.47	5.6	4.86	33.51	1.47	0.48	0.67	25.04	81.9	4.82
phavu.G19833.gnm1.ann1.Phvul.002G194800	77.97	23.71	17.45	35.69	16.51	21.82	14.74	5.63	5.64	7.54	20.88	10.6	0.06	0.06	0
phavu.G19833.gnm1.ann1.Phvul.002G194900	3.63	1.12	3.26	5.63	4.44	2.31	3.97	2.58	3.05	7.16	5.29	2.82	2.38	1.49	2.4
phavu.G19833.gnm1.ann1.Phvul.002G195000	1.32	0.72	5.8	3.91	4.16	1.11	2.95	1.71	4.55	1.99	0.9	1.36	2.26	2.61	4.15
phavu.G19833.gnm1.ann1.Phvul.002G195100	5.55	1.23	21.68	10.72	7.69	1.75	14.24	8.02	22.53	2.22	3	1.23	20.83	27.85	7.71
phavu.G19833.gnm1.ann1.Phvul.002G195200	9.64	1.2	22.71	8.99	4.94	2.49	12.64	63.07	65.19	0.36	0.32	0	1.58	18.48	27.07
phavu.G19833.gnm1.ann1.Phvul.002G195300	7.49	0.75	2.14	6.67	2.62	0.84	1.81	1.35	2.94	0.16	0.21	0	5.5	4.93	1.33
phavu.G19833.gnm1.ann1.Phvul.002G195400	0.11	0.07	0.43	0.33	0.53	0.29	1.19	1.07	2.2	0	0	0	0	0.12	0.1
phavu.G19833.gnm1.ann1.Phvul.002G195500	47.85	20.45	47.12	60.95	59.77	37.59	148.16	100.15	175.84	33.07	7.38	4.05	62.84	49.37	37.72
phavu.G19833.gnm1.ann1.Phvul.002G195600	5.76	5.01	0.23	3.92	0.49	0	0.25	0.33	0.09	0.07	0	0.08	0.19	0.97	1.81
phavu.G19833.gnm1.ann1.Phvul.002G195700	1.06	2.34	0.3	0.82	0.66	0	0.13	1.2	4.9	0.14	0	0	0	0.19	0.5
phavu.G19833.gnm1.ann1.Phvul.002G195800	33.23	64.86	3522.66	195.41	195.97	41.71	36.24	116.48	1540.37	5.69	4.38	3.43	0.72	24.05	136.19
phavu.G19833.gnm1.ann1.Phvul.002G195900	0.05	0.04	0.97	0.02	0.08	0	0	0.03	0.8	0	0	0	0	0	0.02
phavu.G19833.gnm1.ann1.Phvul.002G196000	0.64	1.93	74.1	0.69	0.37	0	0.23	1.68	28.35	0	0	0	0	0.23	0
